Types_of_fluid,mh,mc,Th1,Th2,Tc1,Tc2,c,h,Volume_Concentration,Size_of_Particle,Ultrasonication_time,Speed_of_Magnetic_Stirrer,R,LMTD,e,U0,V,Rec,Prc,NTU,Dec,Nuc,hc,Ch,Cc,Cmin,Qmax,Q
Water,0.083,0.0167,78,74.11272289,36,55.32,3,3,0,0,0,0,0.19,29.88,0.46,178.12,0.21,3646.79,3.77,0.65,1229.13,33.46,2141.92,0.249,0.0501,0.0501,2.1042,0.967932
Water,0.083,0.033,78,71.54313253,36,48.18,4,3,0,0,0,0,0.39,33.47,0.29,195.58,0.38,6551.12,3.77,0.35,2208.03,44.85,2870.82,0.249,0.132,0.132,5.544,1.60776
Water,0.083,0.05,78,69.18,36,43.3206,6,3,0,0,0,0,0.599,34.77,0.21,211.92,0.64,10918.54,3.77,0.26,3680.05,57.91,3706.21,0.249,0.3,0.249,10.458,2.19618
Water,0.083,0.066,78,70.44,36,39.56522727,8,3,0,0,0,0,0.79,35.25,0.18,232.68,0.85,14558.78,3.77,0.21,4906.98,66.87,4279.63,0.249,0.528,0.249,10.458,1.88244
Water,0.083,0.0833,78,71.28,36,38.0087395,10,3,0,0,0,0,0.99,35.35,0.16,256.64,1.06,18190.26,3.77,0.189,6130.96,74.75,4783.74,0.249,0.833,0.249,10.458,1.67328
Al2O3,0.083,0.0167,78,72.02824096,36,58.26,4,3,0.05,80,60,1500,0.17,28.08,0.53,186.47,0.21,3726.81,3.48,0.79,1256.09,33.56,2245.8,0.249,0.0668,0.0668,2.8056,1.486968
Al2O3,0.083,0.033,78,68.81566265,36,49.86,5,3,0.05,80,60,1500,0.34,32.38,0.33,202.37,0.38,6694.82,3.48,0.43,2256.46,44.94,3010,0.249,0.165,0.165,6.93,2.2869
Al2O3,0.083,0.05,78,67.5,36,43.47,7,3,0.05,80,60,1500,0.51,34.04,0.25,215.57,0.64,11158.03,3.48,0.31,3760.77,58.1,3885.97,0.249,0.35,0.249,10.458,2.6145
Al2O3,0.083,0.066,78,69.18,36,39.69727273,9,3,0.05,80,60,1500,0.69,34.58,0.21,238.18,0.85,14878.11,3.48,0.25,5014.61,67.06,4887.27,0.249,0.594,0.249,10.458,2.19618
Al2O3,0.083,0.0833,78,70.02,36,38.16852559,11,3,0.05,80,60,1500,0.86,34.75,0.19,262.93,1.06,18589.27,3.48,0.22,6265.44,74.96,5015.76,0.249,0.9163,0.249,10.458,1.98702
